Locus,Name,LocusName,MedianSputumEffect,MedianSputumP,sp1.Est,sp2.Est,sp3.Est,sp4.Est,sp5.Est,sp6.Est,sp1.FDR,sp2.FDR,sp3.FDR,sp4.FDR,sp5.FDR,sp6.FDR,sp1.P,sp2.P,sp3.P,sp4.P,sp5.P,sp6.P
PA5511,mifR,mifR,0.768843483,0.000850548,1.180757806,0.747795767,1.436397329,0.612294792,0.789891199,0.697720427,4.10E-05,0.002167291,3.20E-05,0.022066934,0.00321384,0.06129691,5.28E-06,0.000850539,3.85E-06,0.009647022,0.000850556,0.029385012
PA1076,,PA1076,0.768385724,0.006187612,-0.122577087,1.485832565,2.14424779,1.41822632,0.118545128,-1.812221175,0.880645963,0.001679076,0.001076223,0.005018178,0.854983519,0.026430066,0.806290457,0.000641809,0.000205121,0.001794848,0.790312073,0.010580376
PA1012,,PA1012,0.767927688,0.105520909,1.669950702,1.529395196,-0.695212916,0.519372666,1.016482709,-0.69897926,0.000843947,0.00032565,0.362830528,0.290423164,0.030926373,0.337514268,0.000175146,0.000104016,0.242799719,0.198585513,0.012456305,0.239733355
PA5386,cdhA,cdhA,0.767380664,0.28754106,-0.010006418,0.861631699,0.181764863,0.673129629,2.532355043,4.209104119,1,0.293345834,0.913935781,0.466217247,0.00358359,9.76E-05,0.990219833,0.216173948,0.859038428,0.358908172,0.000970425,7.11E-06
PA2543,,PA2543,0.765904032,0.029018077,0.37653722,0.67635434,1.375712584,0.855453724,0.308462791,1.172702811,0.469790111,0.072932905,0.010681749,0.03345401,0.492798223,0.029588517,0.333668055,0.042495129,0.003072982,0.015541026,0.379969132,0.01222902
PA1612,,PA1612,0.765883484,0.097344741,0.514688742,1.017078227,0.174319361,0.075530341,1.422833434,1.634755793,0.309705394,0.0066479,0.817104825,0.887386979,0.000447722,0.002161515,0.191777379,0.002912102,0.727335148,0.832615181,8.56E-05,0.000450284
PA2802,,PA2802,0.764426944,0.02317658,0.806562291,1.070038016,0.50752685,1.358213944,0.722291597,-0.131385158,0.052571668,0.001304125,0.369399556,0.000126209,0.053341007,0.836873982,0.022041719,0.000488417,0.248103212,2.88E-05,0.024311442,0.772544251
PA1591,,PA1591,0.763893299,0.102212567,-0.341298532,0.591573497,0.068489006,0.991689046,1.184956023,0.9362131,0.586190252,0.178327355,0.943620768,0.031774021,0.010801968,0.143305763,0.452862318,0.1209922,0.904041027,0.014604451,0.003607607,0.083432934
PA1579,,PA1579,0.763639963,0.158018302,0.154543983,0.787844754,4.542299928,2.510795714,0.739435172,-0.861713026,0.877087454,0.194312354,5.21E-09,7.52E-05,0.275629118,0.398403572,0.801407334,0.133815668,2.45E-10,1.64E-05,0.182220935,0.294782285
PA1069,,PA1069,0.762466837,0.060194942,0.512883203,0.815185312,0.957319446,0.281172885,0.709748362,0.82200264,0.294938267,0.026324353,0.088982852,0.526240172,0.081625724,0.13735349,0.180630381,0.013480951,0.039853323,0.41698392,0.04115667,0.079233214
PA2039,,PA2039,0.762393734,0.10229355,0.311459069,0.906947419,-0.217389998,0.765792796,0.7644723,0.760315167,0.606952416,0.029958175,0.795206173,0.09577553,0.099110889,0.233733528,0.474674703,0.015552173,0.700166614,0.052543753,0.052321087,0.152043347
